User/Vedio,Yaw,Pitch,Roll,Time[s)
,1.86302,10.160596,-15.608987,0.300545241
Vedio-4,1.8737,10.163949,-15.613524,0.335444721
,1.88172,10.166977,-15.61856,0.366870221
,1.89094,10.170727,-15.624165,0.401976121
,1.90748,10.176512,-15.631248,0.437137901
,1.9548,10.189567,-15.643039,0.468110381
,2.1327,10.232576,-15.656063,0.503376211
,2.44417,10.31497,-15.660584,0.534358671
,2.84494,10.4373,-15.667762,0.570209821
,3.15146,10.540823,-15.679138,0.600768621
,3.40419,10.643365,-15.695879,0.635387271
,3.54997,10.716067,-15.711153,0.667684611
,3.63794,10.77242,-15.722344,0.702684731
,3.67633,10.806071,-15.728537,0.734142171
,3.68961,10.823294,-15.731232,0.769461611
,3.69098,10.8336,-15.732487,0.800115911
,3.68116,10.839606,-15.733396,0.836334861
,3.62078,10.841342,-15.735069,0.866937551
,3.34896,10.807977,-15.735288,0.901201261
,2.8221,10.691472,-15.730436,0.933704181
,2.06969,10.478505,-15.716273,0.967204951
,1.01662,10.131363,-15.715153,1.003594671
,-0.0575523,9.761017,-15.745674,1.035037551
,-1.48431,9.28408,-15.838204,1.070380381
,-3.07957,8.79078,-16.016141,1.102019701
,-5.04154,8.17878,-16.300514,1.133385621
,-7.63104,7.3314,-16.711741,1.167938981
,-10.7311,6.3148,-17.20965,1.203562901
,-13.6905,5.36123,-17.65882,1.235188261
,-16.6956,4.42154,-18.07692,1.269775281
,-19.1117,3.69746,-18.37184,1.301199051
,-21.3808,3.03818,-18.61012,1.336178651
,-23.0015,2.57059,-18.76844,1.366891411
,-24.6584,2.11238,-18.95212,1.403079851
,-25.9566,1.75675,-19.1266,1.434529881
,-27.298,1.3776,-19.34647,1.468856031
,-28.4942,1.03062,-19.57296,1.500244471
,-29.8072,0.63325,-19.83604,1.535566751
,-30.9514,0.25705,-20.06527,1.567679061
,-32.0978,-0.15439,-20.29213,1.601749471
,-33.1278,-0.54439,-20.47673,1.633927951
,-34.2094,-0.96329,-20.64956,1.668347321
,-35.3422,-1.41989,-20.83537,1.704806601
,-36.3508,-1.83199,-20.99364,1.735846351
,-37.4465,-2.25149,-21.13911,1.767209131
,-38.7806,-2.71029,-21.28625,1.802503481
,-40.05,-3.09229,-21.40135,1.834086921
,-39.6417,-3.34329,-21.29319,1.868550781
,-24.3223,-2.59549,-19.38687,1.903809491
,-10.7798,-1.93749,-17.70933,1.934804201
,3.2994,-1.25819,-15.972579,1.967131771
,18.2748,-0.54179,-14.13321,2.001221551
,33.8136,0.19516,-12.23307,2.036942431
,47.5106,0.83898,-10.56532,2.068163241
,63.0757,1.56258,-8.67984,2.103823381
,76.866,2.19619,-7.02137,2.135342121
,92.1155,2.88694,-5.2023,2.170023241
,106.004,3.49969,-3.5598,2.201511461
,121.357,4.15892,-1.7544,2.236411511
,134.92,4.7242,-0.1708,2.267223771
,150.654,5.36238,1.6498,2.302904441
,164.486,5.91159,3.2348,2.334221591
,180,6.52583,5.0323,2.370303681
,180,7.04828,6.5737,2.401663891
,180,7.59754,8.1973,2.435267581
,180,8.10005,9.678,2.467344541
,180,8.64548,11.2115,2.502664271
,180,9.17125,12.497,2.534638881
,180,9.8272659,13.6824,2.569573721
,180,10.115563,14.0033,2.601662101
,180,10.276954,14.077,2.636299011
,180,10.338235,14.0797,2.667292581
,180,10.356102,14.0746,2.701867051
,180,10.358847,14.0699,2.734088551
,180,10.35873,14.059,2.769212411
,180,10.354328,14.0392,2.803839341
,180,10.337082,13.9893,2.835504031
,180,10.279693,13.8381,2.870971451
,180,10.19387,13.6048,2.901082631
,180,10.074702,13.2327,2.936565141
,180,9.965849,12.8507,2.968711661
,180,9.85958093,12.425,3.003049201
,180,9.7870034,12.0461,3.034300791
,180,9.738747,11.6497,3.068844751
,180,9.723909,11.2889,3.101164051
,180,9.732729,10.9316,3.136576701
,180,9.7725074,10.6535,3.167683741
,180,9.85376584,10.3469,3.203253211
,180,9.958913,10.0551,3.234812711
,180,10.108093,9.7083,3.269834211
,180,10.25236,9.3946,3.301355791
,180,10.389059,9.0804,3.335943381
,180,10.497407,8.8285,3.367200391
,180,10.599486,8.5954,3.402503011
,180,10.682486,8.4324,3.434281201
,180,10.772455,8.2863,3.469041851
,180,10.849021,8.1717,3.500517811
,180,10.93843,8.0637,3.536033701
,180,11.02401,7.9881,3.567239671
,180,11.11134,7.9191,3.602566811
,180,11.18625,7.8787,3.634182181
,180,11.27036,7.8591,3.668615231
,180,11.34148,7.8587,3.700209241
,180,11.40029,7.8679,3.735645291
,180,11.42526,7.8811,3.767065661
,180,11.41717,7.8946,3.801800371
,180,11.38336,7.9017,3.835938061
,180,11.34722,7.8985,3.868251371
,180,11.31338,7.8726,3.902857211
,180,11.28482,7.8265,3.935514631
,180,11.25404,7.7634,3.967004561
,180,11.21511,7.6789,4.000441741
,180,11.18104,7.5723,4.036659821
,180,11.15889,7.4648,4.067945061
,180,11.13545,7.3393,4.100073351
,180,11.11328,7.184,4.135318671
,180,11.09979,7.0129,4.169795071
,180,11.09321,6.8526,4.201247941
,180,11.08816,6.6787,4.236530621
,180,11.09807,6.5412,4.267630531
,180,11.15635,6.4058,4.302294811
,180,11.25184,6.2744,4.334711331
,180,11.37077,6.1066,4.369577461
,180,11.55519,5.9439,4.404832171
,180,11.85975,5.8651,4.436029601
,180,12.28147,5.8597,4.467284621
,180,12.80006,5.9397,4.502085451
,180,13.41815,6.0748,4.534573821
,180,14.11278,6.2045,4.569341301
,180,14.62969,6.3003,4.600626821
,180,15.0759,6.4271,4.636044331
,180,15.38301,6.5709,4.667709041
,180,15.59923,6.7653,4.702246751
,180,15.72033,6.9502,4.734042891
,180,15.79134,7.1487,4.768382721
,180,15.86918,7.3195,4.800975431
,180,15.97706,7.4834,4.835369421
,180,16.09495,7.6156,4.867137911
,180,16.23398,7.7451,4.902183081
,180,16.37104,7.8779,4.933355971
,180,16.5628,8.0587,4.968329291
,180,16.78173,8.2648,5.003467411
,180,16.99519,8.4544,5.035119281
,180,17.26105,8.7053,5.069605641
,180,17.58674,9.0197,5.101376701
,180,17.95712,9.3991,5.136452661
,180,18.21535,9.7462,5.167927491
,180,18.47012,10.1224,5.202999751
,180,18.63224,10.3853,5.234115061
,180,18.7162,10.5758,5.268390451
,180,18.74824,10.6793,5.301116871
,180,18.75482,10.7373,5.336563471
,180,18.74514,10.7738,5.371206931
,180,18.71461,10.7999,5.402593371
,180,18.61438,10.8121,5.433854371
,180,18.39971,10.7843,5.468924931
,180,18.10239,10.6798,5.504095261
,180,17.75155,10.4969,5.535602291
,180,17.34175,10.2371,5.567077681
,180,16.81437,9.8748,5.602192691
,180,16.22778,9.4413,5.636930231
,180,15.68845,9.0496,5.668291311
,180,15.06273,8.6026,5.703678611
,180,14.52227,8.2214,5.735293991
,180,13.94636,7.8619,5.769865321
,180,13.39908,7.5363,5.802343411
,180,12.82574,7.2271,5.836932981
,180,12.37262,7.0194,5.867503751
,180,11.87025,6.8244,5.904454831
,180,11.47325,6.7058,5.935181821
,180,11.05555,6.6659,5.970073611
,180,10.708329,6.6799,6.001393051
,180,10.345972,6.7305,6.036647201
,180,10.029805,6.7791,6.068344101
,180,9.656333,6.7909,6.102807961
,180,9.253372,6.7909,6.135109591
,180,8.77222,6.7909,6.170493751
,180,8.34126,6.7918,6.202094311
,180,7.86456,6.8164,6.236430421
,180,7.43516,6.8572,6.267583921
,180,6.96934,6.943,6.303392871
,180,6.64126,7.0515,6.334369901
,180,6.341,7.2061,6.369879221
,180,6.1014,7.3702,6.401299301
,180,5.84838,7.5752,6.436751871
,180,5.64119,7.7579,6.467942451
,180,5.41294,7.9714,6.503231101
,180,5.22439,8.1721,6.534769511
,180,5.02177,8.3942,6.569678131
,180,4.83115,8.5917,6.601488511
