User/Vedio,Yaw,Pitch,Roll,Time(s)
,0.0545698,25.59442,-9.130869,0.300953818
Vedio-10,0.057167,25.541475,-9.092248,0.335953668
,0.056248,25.487288,-9.052366,0.370488228
,0.0546489,25.432499,-9.015171,0.401901198
,0.0548925,25.365464,-8.972744,0.437173608
,0.0592891,25.30515,-8.936439,0.468380718
,0.0702834,25.233732,-8.895082,0.503769148
,0.08493,25.15934,-8.851548,0.535033568
,0.1076,25.053562,-8.788686,0.569949878
,0.136376,24.932195,-8.716584,0.601809608
,0.177551,24.77837,-8.627392,0.636540578
,0.222523,24.63039,-8.54358,0.667924458
,0.278671,24.46364,-8.452723,0.703480258
,0.326106,24.32674,-8.379635,0.734100348
,0.37489,24.1777,-8.298574,0.769466548
,0.413351,24.04885,-8.22796,0.800805668
,0.457874,23.88148,-8.13854,0.836533938
,0.501252,23.7026,-8.04635,0.866901438
,0.561729,23.43973,-7.9197,0.903519228
,0.618049,23.18972,-7.80396,0.934569248
,0.681337,22.87688,-7.65461,0.969461328
,0.731392,22.58807,-7.50846,1.001027938
,0.774798,22.31593,-7.37634,1.035393128
,0.807066,22.11818,-7.28786,1.066754188
,0.840927,21.93182,-7.21219,1.102794088
,0.872273,21.77499,-7.15051,1.134354138
,0.91183,21.56763,-7.0641,1.168823678
,0.954874,21.28015,-6.92966,1.200050468
,1.00797,20.70816,-6.62731,1.236177338
,1.04356,19.90856,-6.15685,1.267059708
,1.0556,18.661,-5.33964,1.301113278
,1.03225,17.10156,-4.22109,1.336969288
,0.975573,15.6745,-3.16199,1.368712398
,0.878836,14.1854,-2.03464,1.404263638
,0.768527,13.0032,-1.12947,1.435521228
,0.650901,12.0193,-0.36885,1.467106398
,0.549519,11.2681,0.22278,1.500634538
,0.495603,10.8176,0.61726,1.537158248
,0.475055,10.5977,0.84662,1.568477688
,0.459082,10.3682,1.10042,1.603857278
,0.444154,10.0824,1.39862,1.635223178
,0.417284,9.5534,1.90242,1.670585958
,0.382793,8.853,2.51602,1.701159858
,0.338005,7.7627,3.39802,1.736579388
,0.307779,6.5636,4.30272,1.767693278
,0.302172,5.0987,5.34522,1.802786338
,0.340289,3.8395,6.20582,1.834100088
,0.451074,2.6195,7.01792,1.869578348
,0.582577,1.8256,7.57302,1.900313058
,0.756058,1.1605,8.07702,1.935844898
,0.940694,0.6484,8.49842,1.966768608
,1.18315,0.0132,9.04262,2.001583418
,1.41474,-0.6552,9.61282,2.037039418
,1.57205,-1.2086,10.07582,2.069048518
,1.66469,-1.6712,10.45092,2.100279848
,1.70883,-2.0994,10.78812,2.134908478
