User/vedio,Yaw,Pitch,Roll,Time(s)
,-0.0020205,-6.79043135,7.327786622,0.170368401
Vedio-7,-0.00354784,-6.78846646,7.32896805,0.201361841
,-0.00573585,-6.7861063,7.33105449,0.233679291
,-0.00898342,-6.7827313,7.33460557,0.268694951
,-0.0130335,-6.7784067,7.339324,0.302786311
,-0.0174303,-6.7737435,7.3447105,0.335257721
,-0.0226936,-6.7685939,7.3515096,0.370444731
,-0.0274691,-6.7641442,7.3577586,0.400915581
,-0.03304,-6.7586286,7.3650852,0.436685051
,-0.0378489,-6.7533498,7.3712618,0.468354201
,-0.043338,-6.747027,7.3775478,0.503848261
,-0.0484884,-6.7410675,7.3826342,0.535411331
,-0.0538502,-6.7347643,7.3874567,0.566823871
,-0.0601869,-6.7269666,7.392609,0.602087861
,-0.0670498,-6.718388,7.3974836,0.636673291
,-0.0745385,-6.7093016,7.4021737,0.668694801
,-0.0838287,-6.6986549,7.4075196,0.702338831
,-0.0942512,-6.687702,7.4128877,0.734115441
,-0.108803,-6.673707,7.4194955,0.770404941
,-0.124091,-6.659975,7.4256921,0.800746051
,-0.147863,-6.639507,7.434213,0.837189781
,-0.173961,-6.618324,7.442196,0.867669751
,-0.213336,-6.589305,7.451342,0.903376221
,-0.258409,-6.560098,7.458263,0.934566101
,-0.330779,-6.520437,7.46438,0.969983471
,-0.429382,-6.475355,7.469054,1.000360511
,-0.625678,-6.399677,7.476092,1.036736101
,-0.879946,-6.317369,7.482936,1.068417211
,-1.23515,-6.219379,7.489102,1.102666791
,-1.66519,-6.1085,7.490055,1.134784681
,-2.25471,-5.95855,7.477689,1.169652661
,-2.91916,-5.79311,7.444904,1.200986231
,-3.82486,-5.57963,7.3858078,1.236435811
,-4.69337,-5.38815,7.3134567,1.267542151
,-5.71087,-5.17687,7.186102,1.302684391
,-6.64435,-4.99786,7.018682,1.334193001
,-7.70383,-4.80436,6.76251,1.369487761
,-8.65475,-4.62329,6.478137,1.400880631
,-9.7287,-4.41383,6.11116,1.436198791
,-10.6632,-4.24493,5.75729,1.467277781
,-11.6796,-4.08625,5.34396,1.502457361
,-12.5564,-3.96892,4.97112,1.533827121
,-13.5311,-3.85406,4.5269,1.569293811
,-14.3602,-3.75295,4.12512,1.600498791
,-15.2223,-3.63718,3.68401,1.635715171
,-15.8885,-3.53421,3.32863,1.666960931
,-16.4936,-3.42584,2.99666,1.702507461
,-16.8908,-3.34638,2.76864,1.733818521
,-17.2097,-3.27643,2.57324,1.768112301
,-17.4385,-3.22072,2.42616,1.800394391
,-17.6536,-3.16205,2.28697,1.833949191
,-17.91,-3.08633,2.13123,1.870531761
,-18.1878,-2.996,1.98094,1.901698831
,-18.6143,-2.84485,1.78352,1.937793321
,-19.0957,-2.67144,1.60181,1.968257891
,-19.8394,-2.41845,1.37838,2.003638481
,-20.6548,-2.16168,1.1727,2.034347951
,-21.8192,-1.82261,0.90793,2.070458681
,-22.9813,-1.52568,0.66027,2.101502301
,-24.4599,-1.20235,0.38225,2.136791371
,-25.8861,-0.9384,0.15572,2.168764711
,-27.404,-0.71187,-0.05091,2.202625431
,-28.7648,-0.557,-0.21959,2.234659201
,-30.1678,-0.46185,-0.36408,2.270147831
,-31.2759,-0.43509,-0.45315,2.301506471
,-32.35,-0.44533,-0.51367,2.337054991
,-33.1334,-0.48776,-0.52707,2.368250001
,-33.8783,-0.55458,-0.51729,2.403668231
,-34.4511,-0.62121,-0.48852,2.435602521
,-35.0095,-0.70136,-0.44026,2.470543481
,-35.4513,-0.77467,-0.38229,2.501840561
,-35.8859,-0.85757,-0.29665,2.536454221
,-36.2448,-0.9375,-0.20087,2.568848931
,-36.5532,-1.0111,-0.10106,2.602431661
,-36.777,-1.06651,-0.01521,2.634310341
,-36.9552,-1.11439,0.06966,2.670307041
,-37.0534,-1.14534,0.12703,2.700971471
,-37.1198,-1.17215,0.17294,2.736556751
,-37.1564,-1.18994,0.2037,2.766840281
,-37.1893,-1.20802,0.23964,2.803480741
,-37.2126,-1.22254,0.27223,2.834699981
,-37.2369,-1.2395,0.31359,2.870090541
,-37.2603,-1.25569,0.35536,2.901103361
,-37.2928,-1.27476,0.40803,2.936388431
,-37.3274,-1.29224,0.45713,2.968251421
,-37.3697,-1.31168,0.51094,3.003668781
,-37.4084,-1.32924,0.5588,3.034964441
,-37.4494,-1.348,0.60972,3.069578971
,-37.4828,-1.36414,0.65284,3.100926221
,-37.5177,-1.3812,0.70025,3.136509501
,-37.547,-1.39535,0.74128,3.167980481
,-37.5781,-1.40998,0.78492,3.203473391
